MA0009.1	17.8627489557575	T	Beta-Hairpin-Ribbon	; acc "P20293" ; collection "CORE" ; comment "-" ; family "T" ; medline "8344258" ; pazar_tf_id "TF0000006" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0099.2	9.19332543812042	AP1	Zipper-Type	; acc "P05412,P01100" ; collection "CORE" ; comment "Dimer. Annotations from PAZAR C-JUN + JUN_RAT + JUN_MOUSE + JUN_HUMAN + FOS/JUN_HUMAN + FOS_HUMAN in the pleiades genes project (TF0000129, TF0000147, TF0000234, TF0000243, TF0000670, TF0000287)." ; family "Leucine Zipper" ; medline "17916232" ; pazar_tf_id "TF0000071" ; species "9606,10116,10090" ; tax_group "vertebrates" ; type "COMPILED" 
MA0141.1	12.8061908151661	Esrrb	Zinc-coordinating      	; acc "Q61539" ; collection "CORE" ; comment "-" ; family "Hormone-nuclear Receptor" ; medline "18555785           " ; pazar_tf_id "-" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0040.1	14.0702573602851	Foxq1	Winged Helix-Turn-Helix	; acc "Q63244" ; collection "CORE" ; comment "-" ; family "Forkhead" ; medline "8139574" ; species "10116" ; tax_group "vertebrates" ; type "SELEX" 
MA0157.1	11.7336527653393	FOXO3	Winged Helix-Turn-Helix	; acc "O43524" ; collection "CORE" ; comment "Annotations from PAZAR FOXO3_MOUSE + FOXO3_HUMAN (TF0000811, TF0000812) in the TFe project." ; family "Forkhead" ; medline "17916232" ; pazar_tf_id "-" ; species "10090,9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0149.1	32.8714828380974	EWSR1-FLI1	Winged Helix-Turn-Helix	; acc "Q9BZD1" ; collection "CORE" ; comment "fusion protein between EWSR1 and FLI1 in an oncogenic event." ; family "Ets" ; medline "19305498" ; pazar_tf_id "TF0000660" ; species "9606" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0061.1	13.3447617958635	NF-kappaB	Ig-fold	; acc "" ; collection "CORE" ; comment "-" ; family "Rel" ; medline "8449662" ; species "9606,10090,10116,9986" ; tax_group "vertebrates" ; type "COMPILED" 
MA0037.1	6.62989113890047	GATA3	Zinc-coordinating	; acc "P23771" ; collection "CORE" ; comment "-" ; family "GATA" ; medline "8321207" ; pazar_tf_id "TF0000024" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0062.2	13.3349242365611	GABPA	Winged Helix-Turn-Helix	; acc "Q91YY8" ; collection "CORE" ; comment "-" ; family "Ets" ; medline "19160518  " ; pazar_tf_id "TF0000039" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0087.1	10.8307137071314	Sox5	Other Alpha-Helix	; acc "P35710" ; collection "CORE" ; comment "-" ; family "High Mobility Group" ; medline "1396566" ; pazar_tf_id "TF0000062" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0071.1	13.1897301896459	RORA_1	Zinc-coordinating	; acc "NP_599023" ; collection "CORE" ; comment "isoform type" ; family "Hormone-nuclear Receptor" ; medline "7926749" ; pazar_tf_id "TF0000047" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0116.1	17.9252482810031	Zfp423	Zinc-coordinating	; acc "O08961" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "9774661" ; pazar_tf_id "TF0000081" ; species "10116" ; tax_group "vertebrates" ; type "SELEX" 
MA0014.1	12.4319608285825	Pax5	Helix-Turn-Helix	; acc "Q02650" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "8406007" ; pazar_tf_id "TF0000011" ; species "10090" ; tax_group "vertebrates" ; type "COMPILED" 
MA0075.1	9.06306510239134	Prrx2	Helix-Turn-Helix	; acc "Q06348" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "7901837" ; pazar_tf_id "TF0000051" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0155.1	14.8617070293245	INSM1	Zinc-coordinating	; acc "Q01101" ; collection "CORE" ; comment "Annotations from PAZAR INSM1_HUMAN (TF0000773) in the TFe project." ; family "BetaBetaAlpha-zinc finger" ; medline "17916232" ; pazar_tf_id "TF0000773" ; species "9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0117.1	6.76893921374478	Mafb	Zipper-Type	; acc "P54842" ; collection "CORE" ; comment "-" ; family "Leucine Zipper" ; medline "9571165" ; pazar_tf_id "TF0000082" ; species "10116" ; tax_group "vertebrates" ; type "SELEX" 
MA0079.2	11.1288626921664	SP1	Zinc-coordinating	; acc "P08047" ; collection "CORE" ; comment "Annotations from PAZAR SP1 + SP1_MOUSE + SP1_HUMAN + SP1_RAT in the pleiades genes project (TF0000105, TF0000121, TF0000137, TF0000146)." ; family "BetaBetaAlpha-zinc finger" ; medline "17916232" ; pazar_tf_id "TF0000055" ; species "9606,10090,10116" ; tax_group "vertebrates" ; type "COMPILED" 
MA0156.1	12.1208832040133	FEV	Winged Helix-Turn-Helix	; acc "Q99581" ; collection "CORE" ; comment "Annotations from PAZAR FEV_RAT + FEV_HUMAN (TF0000158, TF0000163) in the pleiades genes project." ; family "Ets" ; medline "17916232" ; pazar_tf_id "TF0000163" ; species "10116,9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0004.1	10.9916749479967	Arnt	Zipper-Type	; acc "P53762" ; collection "CORE" ; comment "-" ; family "Helix-Loop-Helix" ; medline "7592839" ; pazar_tf_id "TF0000003" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0024.1	13.8381257170687	E2F1	Winged Helix-Turn-Helix	; acc "NP_005216" ; collection "CORE" ; comment "-" ; family "E2F" ; medline "1411535" ; pazar_tf_id "TF0000014" ; species "9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0137.2	13.1188406182014	STAT1	Ig-fold	; acc "Q53XW4" ; collection "CORE" ; comment "-" ; family "Stat" ; medline "17558387" ; pazar_tf_id "TF0000829" ; species "9606" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0106.1	26.2394386341062	TP53	Zinc-coordinating	; acc "P04637" ; collection "CORE" ; comment "-" ; family "Loop-Sheet-Helix" ; medline "1588974" ; pazar_tf_id "TF0000077" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0153.1	16.821228089066	HNF1B	Helix-Turn-Helix	; acc "P35680" ; collection "CORE" ; comment "Annotations from PAZAR HNF1B_HUMAN + HNF1B_MOUSE (TF0000780, TF0000782) in the TFe project." ; family "Homeo" ; medline "17916232" ; pazar_tf_id "TF0000780" ; species "9606,10090" ; tax_group "vertebrates" ; type "COMPILED" 
MA0029.1	17.9085403297222	Evi1	Zinc-coordinating	; acc "AAI39763" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "8321231" ; pazar_tf_id "TF0000018" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0140.1	11.2966184456867	Tal1::Gata1	Zipper-Type 	; acc "P22091,P17679" ; collection "CORE" ; comment "Heterodimer between TAL1 and GATA1. Data is from Frank Grosveld's Lab." ; family "Helix-Loop-Helix" ; medline "-" ; pazar_tf_id "TF0000022" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0122.1	8.54224977193481	Nkx3-2	Helix-Turn-Helix	; acc "P97503" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "12746429" ; pazar_tf_id "TF0000084" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0065.2	11.6630620376181	PPARG::RXRA	Zinc-coordinating	; acc "P37238,P28700" ; collection "CORE" ; comment "Heterodimer between PPARG and RXRA" ; family "Hormone-nuclear Receptor" ; medline "18981474" ; pazar_tf_id "" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0150.1	14.3935983450542	NFE2L2	Zipper-Type	; acc "Q16236" ; collection "CORE" ; comment "Annotations from PAZAR NFE2L2(NRF2) in the AREs project (TF0000699)." ; family "Leucine Zipper" ; medline "17916232" ; pazar_tf_id "TF0000699" ; species "9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0105.1	15.6269629573419	NFKB1	Ig-fold	; acc "P19838" ; collection "CORE" ; comment "-" ; family "Rel" ; medline "1406630" ; pazar_tf_id "TF0000076" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0041.1	12.9448284802064	Foxd3	Winged Helix-Turn-Helix	; acc "Q63245" ; collection "CORE" ; comment "-" ; family "Forkhead" ; medline "8139574" ; species "10116" ; tax_group "vertebrates" ; type "SELEX" 
MA0025.1	14.1385069219678	NFIL3	Zipper-Type	; acc "NP_005375" ; collection "CORE" ; comment "-" ; family "Leucine Zipper" ; medline "1620116" ; pazar_tf_id "TF0000015" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0158.1	8.75888972531638	HOXA5	Helix-Turn-Helix	; acc "P20719" ; collection "CORE" ; comment "Annotations from PAZAR HOXA5_MOUSE + HOXA5_HUMAN (TF0000293, TF0000501) in the pleiades genes project." ; family "Homeo" ; medline "17916232" ; pazar_tf_id "TF0000501" ; species "10090,9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0142.1	14.8078141694759	Pou5f1	Helix-Turn-Helix	; acc "P20263" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "18555785" ; pazar_tf_id "-" ; species "10090" ; tax_group "vertebrates" ; type "Chip-seq" 
MA0058.1	12.6854143466175	MAX	Zipper-Type	; acc "AAH36092" ; collection "CORE" ; comment "-" ; family "Helix-Loop-Helix" ; medline "8265351" ; pazar_tf_id "TF0000037" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0088.1	17.5411729665119	znf143	Zinc-coordinating	; acc "Q91853" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "9009278" ; species "8355" ; tax_group "vertebrates" ; type "COMPILED" 
MA0259.1	9.73982400956926	HIF1A::ARNT	Zipper-Type	; acc "EAW80806,EAW53510" ; collection "CORE" ; comment "dimer between HIF1A and ARNT" ; family "Helix-Loop-Helix" ; medline "16234508" ; species "9606,10090,10117,9986" ; tax_group "vertebrates" ; type "COMPILED" 
MA0100.1	9.88327768496603	Myb	Helix-Turn-Helix	; acc "P06876" ; collection "CORE" ; comment "-" ; family "Myb" ; medline "1861984" ; pazar_tf_id "TF0000072" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0145.1	11.6502911096776	Tcfcp2l1 	Other	; acc "Q3UNW5" ; collection "CORE" ; comment "-" ; family "CP2" ; medline "18555785 " ; pazar_tf_id "-" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0074.1	20.4511671987138	RXRA::VDR	Zinc-coordinating	; acc "P19793,P11473" ; collection "CORE" ; comment "heterodimer between RXRA and VDR" ; family "Hormone-nuclear Receptor" ; medline "8674817" ; pazar_tf_id "TF0000050" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0164.1	12.0283841788908	Nr2e3	Zinc-coordinating	; acc "Q9QXZ7" ; collection "CORE" ; family "Hormone-nuclear Receptor" ; medline "15634773" ; pazar_tf_id "-" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0046.1	15.5481691262781	HNF1A	Helix-Turn-Helix	; acc "ABR09270" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "9047360" ; species "7742" ; tax_group "vertebrates" ; type "COMPILED" 
MA0033.1	6.06853671151551	FOXL1	Winged Helix-Turn-Helix	; acc "Q12952" ; collection "CORE" ; comment "-" ; family "Forkhead" ; medline "7957066" ; pazar_tf_id "TF0000021" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0114.1	9.61741421120951	HNF4A	Zinc-coordinating	; acc "P41235" ; collection "CORE" ; comment "-" ; family "Hormone-nuclear Receptor" ; medline "12385991" ; species "" ; tax_group "vertebrates" ; type "COMPILED" 
MA0048.1	14.1315572207903	NHLH1	Zipper-Type	; acc "Q02575" ; collection "CORE" ; comment "-" ; family "Helix-Loop-Helix" ; medline "8289804" ; pazar_tf_id "TF0000030" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0108.2	10.0863285219951	TBP	Beta-sheet	; acc "" ; collection "CORE" ; comment "column 7 error fixed in version 2 " ; family "TATA-binding" ; medline "2329577" ; species "" ; tax_group "vertebrates" 
MA0050.1	16.0080101497756	IRF1	Winged Helix-Turn-Helix	; acc "P10914" ; collection "CORE" ; comment "-" ; family "IRF" ; medline "7687740" ; pazar_tf_id "TF0000032" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0073.1	22.2782723704014	RREB1	Zinc-coordinating	; acc "Q92766" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "8816445" ; pazar_tf_id "TF0000049" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0056.1	8.58551320253218	MZF1_1-4	Zinc-coordinating	; acc "P28698" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "8114711" ; pazar_tf_id "TF0000035" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0143.1	12.9512704531914	Sox2	Other Alpha-Helix	; acc "P48432" ; collection "CORE" ; comment "-" ; family "High Mobility Group" ; medline "18555785" ; pazar_tf_id "TF0000779" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
